DrugBankIDLabel,UniProtIDLabel,Interaction
2780,153,1
200,2243,1
4182,1348,1
4182,3420,1
3656,1265,1
3656,1526,1
1860,1075,1
2968,1496,1
2968,2512,1
2242,2923,1
2242,4217,1
2242,4130,1
2242,4306,1
2242,2478,1
2242,1724,1
2242,2119,1
2242,3197,1
2242,3487,1
2242,3697,1
2242,4137,1
2242,3843,1
2242,3661,1
2242,3509,1
2242,900,1
2242,3459,1
2242,1759,1
2242,2392,1
2242,3459,1
2242,3582,1
6189,2667,1
7234,4588,1
7234,14,1
7234,3417,1
7234,813,1
7234,2409,1
7234,3388,1
7234,2534,1
7234,2911,1
7234,2010,1
7234,66,1
7234,1749,1
7234,1442,1
7234,1084,1
5185,1671,1
5185,4399,1
3719,3041,1
3719,684,1
3719,2477,1
3719,3578,1
3719,3336,1
3719,2945,1
3719,4022,1
3719,82,1
3719,4164,1
3719,1999,1
3719,330,1
3719,771,1
3719,3746,1
3719,3445,1
3719,4451,1
3719,2559,1
3719,3296,1
599,3843,1
3523,2046,1
3523,723,1
3996,3041,1
3996,684,1
3996,2477,1
3996,3578,1
3996,3336,1
3996,2945,1
3996,4022,1
3996,82,1
3996,4164,1
3996,1999,1
3996,330,1
3996,771,1
3996,3746,1
3996,3445,1
3996,4451,1
3996,2559,1
3316,1978,1
6542,2478,1
6542,1759,1
6542,4217,1
6542,2392,1
6542,3459,1
6542,4597,1
3304,302,1
2374,4522,1
2374,2478,1
2374,1759,1
2374,3845,1
2374,4595,1
2374,786,1
2374,1281,1
2374,311,1
2374,1671,1
2374,4399,1
2873,3850,1
2873,3700,1
2873,3683,1
4671,3843,1
4671,3661,1
328,1581,1
6471,3020,1
6471,3472,1
6471,456,1
6471,2249,1
6471,4735,1
6471,4759,1
6471,2093,1
6471,4213,1
6471,2441,1
3287,1729,1
3287,2124,1
3287,2275,1
3287,2296,1
2932,153,1
2932,1226,1
3096,4235,1
3096,1804,1
3096,3174,1
3096,3371,1
3096,4417,1
3096,3185,1
3096,2526,1
3096,2323,1
3096,2415,1
5239,2633,1
5239,3139,1
5239,4179,1
5239,3024,1
5239,928,1
5239,2163,1
5239,4028,1
5239,3628,1
5239,3264,1
5239,4179,1
5239,1762,1
5239,2244,1
5239,4761,1
5239,1163,1
5239,4351,1
5239,3563,1
5239,3822,1
5239,3823,1
5239,429,1
5239,2423,1
5239,1822,1
5239,287,1
5239,1564,1
5239,706,1
5239,2232,1
5239,3065,1
5239,2058,1
5239,2920,1
5239,1249,1
